ID,CS UG,Coding ability,Degree pursuing,Work experience,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
2886650,1,4,1,0,1560,1625,1495,1885,1820,3900,3965,4030,2405,2470
4990324,1,4,0,0,3120,2275,2990,4030,1950,2665,3250,1755,1300,1430
6249314,1,3,1,0,3900,2470,3575,2600,2275,2860,2145,1170,2080,2340
5092102,0,4,0,4,2535,1625,1820,3510,2730,1885,3575,3965,2405,2340
5467123,1,4,1,2,3445,3315,2015,1625,1495,2210,1235,1170,2990,2925
9191919,0,2,0,0,3315,1170,1430,4550,2145,1625,3575,1105,2600,2795
3333333,1,3,1,0,1950,1430,3315,1170,4485,1235,2665,3120,3185,2275
7894231,0,2,0,0,1170,3510,1820,1625,3315,3250,2275,2600,1560,3965
1678231,1,4,1,0,1820,1885,2275,4095,3445,4160,1495,1625,4420,3965
8291021,1,4,0,1,2275,2990,2600,2925,3445,3055,2535,2730,3770,1755
4102938,0,3,1,0,3250,2275,3185,3510,2600,1300,4030,1690,2340,1365
3922650,1,2,0,0,2275,3250,1885,2340,3185,2600,4485,3315,4355,3120
8888888,1,1,1,1,1625,2470,4485,4420,2275,2600,2860,1495,2730,1170
