"Timestamp","Which degree are you pursuing?","What was your undergraduate major?","How many years of professional full-time work experience do you have?","Rank yourself on your coding ability, i.e. your ability to write end-to-end applications.","How much experience do you have working in a group?","","How much experience do you have working in a multidisciplinary group?","",""
"2014/06/05 6:24:03 PM AST","Computer Science","Computer Science","6","4","Yes","","Yes","6","Yes"
"2014/06/05 6:24:31 PM AST","Computer Science","Computer Science","4","3","Yes","","Yes","4","Yes"
"2014/06/05 6:24:54 PM AST","Computer Science","Computer Science","4","3","No","","No","3","No"
"2014/06/05 6:25:23 PM AST","Other","Computer Science","4","2","Yes","","Yes","2","No"
"2014/06/05 6:25:48 PM AST","Other","Engineering (non-CS)","3","1","Yes","","Yes","2","Yes"
"2014/06/05 6:26:47 PM AST","Other","Mathematics","0","3","No","","No","0","No"
"2014/06/05 6:27:10 PM AST","Other","Liberal Arts","4","0","Yes","","Yes","0","No"
"2014/06/06 11:08:59 AM AST","MBA","Engineering (non-CS)","5","1","I work in a group a few times a year.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/06 11:11:54 AM AST","MBA","Biology/Chemistry/Physical science (non-Physics)","6","3","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 11:13:44 AM AST","MBA","Engineering (non-CS)","6","1","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 11:13:54 AM AST","MBA","Engineering (non-CS)","3","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/06 11:14:30 AM AST","MBA","Business/Economics/Hotel Administration","2","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/06 11:15:10 AM AST","MBA","Engineering (non-CS)","3","1","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 11:15:49 AM AST","MBA","Engineering (non-CS)","3","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/06 11:17:56 AM AST","MBA","Business/Economics/Hotel Administration","5","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 11:19:03 AM AST","MBA","Liberal Arts","6","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 11:19:31 AM AST","MBA","Business/Economics/Hotel Administration","0","0","I work in a group a few times a year.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/06 11:19:41 AM AST","MBA","Business/Economics/Hotel Administration","6","2","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 11:27:48 AM AST","MBA","Business/Economics/Hotel Administration","6","0","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 11:27:59 AM AST","MBA","Media/Communications","2","1","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 11:54:06 AM AST","MEng","Physics","0","3","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 12:00:53 PM AST","MBA","Computer Science","3","4","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/06 12:06:41 PM AST","MEng","Computer Science","0","3","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/06 12:08:37 PM AST","MEng","Computer Science","0","3","I work in a group a few times a year.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/06 12:27:47 PM AST","MEng","Engineering (non-CS)","6","3","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group once a month.","",""
"2014/06/06 2:56:31 PM AST","MEng","Computer Science","0","2","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group once a month.","",""
"2014/06/06 3:05:07 PM AST","MEng","Computer Science","2","4","I work in a group a few times a month/all of the time.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/06 3:29:22 PM AST","MBA","Engineering (non-CS)","4","2","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 4:28:09 PM AST","MS","Engineering (non-CS)","0","1","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/06 4:49:35 PM AST","MBA","Computer Science","6","3","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 5:04:31 PM AST","MEng","Engineering (non-CS)","0","2","I work in a group a few times a year.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/06 5:38:40 PM AST","MBA","Business/Economics/Hotel Administration","6","2","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 5:46:36 PM AST","MS","Engineering (non-CS)","3","4","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group once a month.","",""
"2014/06/06 5:51:54 PM AST","MEng","Computer Science","3","2","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
"2014/06/06 8:41:34 PM AST","MEng","Engineering (non-CS)","5","2","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group once a month.","",""
"2014/06/06 8:42:22 PM AST","MEng","Engineering (non-CS)","5","2","I work in a group a few times a month/all of the time.","Lizhang Li","I work in a multidisciplinary group once a month.","",""
"2014/06/06 8:49:37 PM AST","MEng","Business/Economics/Hotel Administration","3","1","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a month/all of the time.","",""
"2014/06/06 10:30:12 PM AST","MEng","Mathematics","0","2","I have worked in a group a few times.","","I have worked in a multidisciplinary group a few times.","",""
"2014/06/06 10:51:41 PM AST","MS","Computer Science","3","3","I work in a group a few times a month/all of the time.","","I work in a multidisciplinary group a few times a year.","",""
