Project ID,Project Name,Company,
1,Visitor Way Finding Project,Flatiron,
2,Recognizing Patterns in ÔQuantified SelfÕ Health Data,Flatiron,
3,Spatiotemporal invention map,Flatiron,
4,Content Quality Score,Flatiron,
5,RoadRunner Optimization Engine,Flatiron,
6,Computer Vision for Electric Utilities,Flatiron,
7,The City Record Recorded,Flatiron,
8,Citywide pedestrian traffic data,Flatiron,
9,Text-driven image and video categorization,Flatiron,
10,The Ugly Video Problem,Flatiron,
11,Conference Call Dashboard for the enterprise,Flatiron,
12,Cyberdefence@Home,Flatiron,
13,Health Information Technology in Transition of Care (HITTOC application),Flatiron,
14,Development of Supporter Assisted Behavioral Intervention Technologies,Flatiron,
15,Super-Doctors: Virtual Physical Exams for Telehealth,Flatiron,
16,BIOMETRIC SOLUTIONS TO HELP DIRECT CASH TO THE WORLD'S POOR,Flatiron,
17,Machine Learning Model to Interpret Online Search Queries,Flatiron,
18,AmEx Sentiment Analysis,Flatiron,
19,Predicting Product Velocity,Flatiron,
20,Churn Early-Warning System,Flatiron,
21,"Realtime Synchronization Service for Data, Code, and other structured data",Flatiron,
22,Make an offer they canÕt refuse,Flatiron,
23,LinkedIn Career Pages,Flatiron,
24,Bringing Clinical Meaning to Apple HealthKit or Google Fit,Flatiron,
25,GiveNext: Advanced Search Algorithm Design for Online/Mobile Application,Flatiron,
26,Quantified SelfÕ Data for Health Modification,Flatiron,
27,iRescU chest compression haptic feedback algorithm,Flatiron,
28,Social Campus: Next Generation Context-Aware Platform,Flatiron,
29,Ambulance INDEMO 1.0 Integrated Tablet Interface,Flatiron,
30,Consumer Behavior and the Transtheoretical Model,Flatiron,
31,Utilizing Internet of Things & Gamification to remake the modern factory,Flatiron,
32,Augmented reality physical mail,Flatiron,
33,Spring - Brand Content Exploration,Flatiron,
34,Mixter,Flatiron,
35,Building an Amazon.com for Social Services,Flatiron,
36,ÒLogogramÓ Visual Messaging Platform,Flatiron,
37,iBeacon,Flatiron,
38,3D Printing Marketplace - Recommendation Engine,Flatiron,
39,Hadoop,Flatiron,
40,Visual Structuring of Financial Contracts,Flatiron,
41,Eye Gaze Tracker,Flatiron,
42,Sensor-based Eating/Drinking Detection for Smart Prompting for Diet Tracking,Flatiron,
43,Every Device is a Commerce Device,Flatiron,
44,Twitter Market Impact,Flatiron,
45,Social Media Channel Discovery,Flatiron,
46,Contextual News Clustering,Flatiron,
47,Graph Search Engine,Flatiron,
48,Who Do I Pitch To?,Flatiron,
49,"Right place, right time",Flatiron,
50,Lighting for Smart Environments,Flatiron,
51,Smart Campus Design,Flatiron,
52,Business case for DSRC data mining,Flatiron,
53,Dense Optical Flow for Egomotion/Visual Odometry in Vehicle Applications,Flatiron,
54,Care Quality Dashboard for Improved Performance in the Hospital General Ward,Flatiron,
55,Proximity-based Services in Social Networking,Flatiron,
56,Optimizing Robots for Warehouses,Flatiron,
57,Beta: Automated Medical Coding Tool,Flatiron,
58,Bonding over Multi-path standard protocols,Flatiron,
59,Geofences & Beacons,Flatiron,
60,Online Learning for Children in the Drylands(Nomadic Children),Flatiron,
61,Reach-Equivalent Geofences,Flatiron,
62,JPMC Technology New Product Engineering,Flatiron,
63,Development of Automated Network Provisioning Solutions and Business Case,Flatiron,
64,Development of a Carrier SDN/NFV Service POC Demonstration and Business Case,Flatiron,
65,Analytics for millions of shipping containers each month,Flatiron,
66,Extracting Topics from Product Titles for eBayÕs Recommendation Algorithms,Flatiron,
67,Matchimus go ! - Productize machine learning matching engine.,Flatiron,
68,Auto Segments: the Intersection of Intent and Interest,Flatiron,
69,CONTENT RECOMMENDATIONS:  DEALING WITH THE MOBILE SHIFT,Flatiron,
70,Text mapping to IAB Classifications,Flatiron,
71,Autogenerating video content from slideshows,Flatiron,
72,"Building an improved patient experience for hosptials, informed by rich data",Flatiron,
73,Customer Feedback and Information Portal,Flatiron,
74,Automated digital currency trade settlement,Flatiron,
75,Aligned Trust Authentication Exchange,Flatiron,
