ID,Degree pursuing,CS UG,Coding ability,Work experience,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10
2886650,1,1,4,6,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
2888650,1,1,4,5,2665,2730,2795,2925,2860,2990,3055,3120,3250,3185
2886750,0,0,4,6,2730,2665,2990,2860,2925,2795,3120,3055,3185,3250
2888888,1,1,3,0,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
2086650,1,1,4,6,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
2006650,1,1,4,6,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
2006850,1,1,4,6,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
2806650,0,1,4,6,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
2806050,0,1,4,6,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
2996650,1,1,4,6,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
2006890,1,1,4,6,2665,2730,2795,2860,2925,2990,3055,3120,3185,3250
