ug_major,coding_ability,degree_pursuing,num_yrs_work_experience,group_experience,m_group_experience
3,1,0,5,2,1
0,3,0,6,4,4
3,1,0,6,4,4
3,0,0,3,4,2
1,0,0,2,4,2
3,1,0,3,4,4
3,0,0,3,4,2
1,0,0,5,4,4
4,0,0,6,4,4
1,0,0,0,2,2
1,2,0,6,4,4
1,0,0,6,4,4
6,1,0,2,4,4
7,3,1,0,4,4
2,4,0,3,4,2
2,3,1,0,4,2
2,3,1,0,2,1
3,3,1,6,4,3
2,2,1,0,4,3
2,4,1,2,4,1
3,2,0,4,4,4
3,1,2,0,4,2
2,3,0,6,4,4
3,2,1,0,2,1
1,2,0,6,4,4
3,4,2,3,4,3
2,2,1,3,4,2
3,2,1,5,4,3
3,2,1,5,4,3
1,1,1,3,4,4
5,2,1,0,1,1
2,3,2,3,4,2
7,4,1,1,4,4
2,3,1,0,4,2
0,1,0,3,4,2
1,0,0,3,2,1
1,0,0,3,4,4
3,1,0,2,4,1
3,2,1,0,2,2
2,4,1,0,4,3
3,0,0,2,4,4
0,0,2,0,4,3
2,3,1,1,4,0
2,3,1,0,3,2
3,1,1,0,2,0
1,0,0,5,2,1
5,2,1,0,1,1
0,3,1,4,2,1
5,1,1,4,4,4
